PERMNO,REPDATS,STATPERS,qtr,year,FPEDATS,RETURNLead,sector,RETP1,RET2P1,SIZE,frev,LTG,SUELag,SGLag,TALag,CAPEXLag,BPLag,EPLag,anFor,anForLag,FE,FELag,actual,CONSENSUS,label,newSTATPERS
P10078,1/15/1997,12/19/1996,4,1996,12/31/1996,0.236009732,45,-0.325019667,0.107811088,9.301066,1.10E-02,18.19,2.04E+00,1.83E+00,1.06E-01,1.51E-02,0.897871827,0.07890411,0,0,0.069767442,-0.007556675,0.0575,0.05,-1,3/26/1996
P10078,1/15/1998,12/18/1997,4,1997,12/31/1997,-0.012734083,45,-0.054731955,0.169213441,9.531635,1.13E-02,18.82,NA,1.39E+00,-3.45E-02,-5.72E-03,4.348609714,-0.027027027,1,-11,0.009200283,0.009200283,0.0713,0.07,-1,3/26/1997
P10078,1/21/1999,12/17/1998,4,1998,12/31/1998,0.305109501,45,0.594754596,-0.156549779,9.70172,1.27E-02,18.09,9.81E-01,1.40E+00,-8.82E-02,-3.10E-02,0.166831781,0.007109208,-1,-8,0.023199023,0.020408163,0.0838,0.08,-1,3/27/1998
P10078,1/20/2000,12/16/1999,4,1999,12/31/1999,-0.018842755,45,0.567801764,0.254471679,10.888166,4.72E-03,20.12,-1.13E+00,8.49E-01,-4.72E-01,-1.19E-03,1.595777234,0.032350365,3,9,0.024390244,0.024390244,0.105,0.1,-1,3/26/1999
P10078,1/18/2001,12/14/2000,4,2000,12/31/2000,0.096412554,45,-0.441593568,-0.020441625,11.886055,4.82E-03,23.47,-2.65E+00,4.11E-01,-5.65E-01,4.58E-04,0.275341502,0.014952524,7,13,0,0,0.16,0.16,1,3/24/2000
P10078,1/18/2002,12/20/2001,4,2001,12/31/2001,-0.125203252,45,-0.119143582,-0.509270416,10.840728,-4.37E-02,18.86,3.17E-01,1.34E+00,1.08E-01,5.05E-02,2.290424674,0.015583439,1,-19,0.142857143,0,-0.03,-0.04,-1,3/30/2001
P10078,1/16/2003,12/19/2002,4,2002,12/31/2002,-0.006430862,45,-0.168090085,-0.639188859,9.692911,-8.35E-03,14.93,-6.08E-01,7.49E-01,9.73E-02,1.44E-02,0.785481992,-0.004535147,-14,-6,1,NA,0,-0.02,-1,3/29/2002
P10078,1/15/2004,12/18/2003,4,2003,12/31/2003,0.182774141,45,-0.43907533,0.066211398,9.61896,-4.98E-02,13,-1.81E+00,7.11E-01,-5.05E-02,-2.48E-02,2.424071332,0.109324759,0,-14,0.25,-0.6,-0.03,-0.05,-1,3/27/2003
P10104,12/12/1996,11/14/1996,4,1996,11/30/1996,-0.017515924,45,0.101269772,-0.244576594,10.322151,1.04E-02,31.96,1.39E+00,1.90E+00,3.53E-02,8.74E-03,0.110830414,0.023018868,-1,-4,0,0,0.03,0.03,1,2/23/1996
P10104,12/8/1997,10/16/1997,4,1997,11/30/1997,0.281725884,45,-0.29822265,-0.369072833,10.043036,8.58E-03,31.32,1.01E+00,4.93E-01,-2.45E-02,6.70E-03,0.187649744,0.047587465,-2,-8,-0.115760112,-0.115760112,0.0317,0.04,1,2/21/1997
